"Row-names","Symbol","CONTROL-EIDD___log2FoldChange","CONTROL-EIDD___padj","data","EIDD_1","EIDD_2","EIDD_3","EIDD_4","CONTROL_1","CONTROL_2","CONTROL_3","CONTROL_4"
"ENSMAUG00000020152","Ncf4",0.596828169719881,0.0690669775063783," ",7.52350684460269,6.91162137621892,7.24654555986749,7.81700242337987,7.97730774493538,8.15723328933482,7.4784405117879,8.25624165121319
"ENSMAUG00000020153","",-1.77005180640201,0.0176339502732795," ",4.57541791856972,4.23448462230711,4.32705051023282,4.42539713872366,2.75936977558366,3.15998464117839,3.65033781391316,2.63101025628191
"ENSMAUG00000020154","Gpr45",-0.364225441319776,0.656093247172731," ",3.56009999041411,4.0070732338862,4.63763802893657,4.77167955183797,4.15825785250989,4.23378116106519,4.16220710895922,3.40378427043871
"ENSMAUG00000020155","",0.127053424102759,0.80460110114471," ",6.35666697350991,6.26717719010374,5.59083041771193,6.15043343604737,5.78825697106502,6.87748224475045,5.94848231595339,6.23504495861842
"ENSMAUG00000020157","Slc35e3",-0.256189070784256,0.423991792116622," ",7.61500236458246,7.17543892815481,7.40541994111281,7.56278836340714,7.28914486260014,7.07534384952209,7.51264136781472,6.75813421649978
"ENSMAUG00000020158","Chmp4b",1.12210476366644,0.000391211422146028," ",9.9163641174854,9.65585330457477,9.71234749944214,10.39928295123,11.0191219182295,11.4809319024894,10.2833959376007,11.244859875099
"ENSMAUG00000020159","",0.770285613283935,0.330002209176559," ",4.44067609537166,4.10238058513502,3.68247507884688,3.82789961247674,4.36639384807589,5.4431297271095,4.94196977577423,3.24587448814471
"ENSMAUG00000020160","Cacna1d",-0.977379680114911,0.016026888893727," ",7.52350684460269,8.03063726588048,7.95115495554735,7.59576697129491,6.59736184631741,6.14293875580181,7.63023598478865,6.39408130140208
"ENSMAUG00000020161","Nusap1",1.41820366215322,0.0342104887628568," ",5.19365948778641,7.00707858778496,4.54135162661545,4.84666154391859,7.14123554871765,6.99384471192857,6.27170939846462,7.74605232297411
"ENSMAUG00000020162","Gmppb",1.02510818346251,9.19750587136376e-05," ",7.15161105853457,7.01934201392466,7.43921175787624,6.6038398804778,8.09894212515353,8.25375446357177,7.78516453845157,8.23011891136501
"ENSMAUG00000020163","",-0.0191596578866981,0.981893210082382," ",4.6587263247176,4.5707690968549,4.07526823067219,5.11279935299914,4.85494496789317,3.79456183342925,4.02676998111486,5.24854402151365
"ENSMAUG00000020164","",-0.0596949848723571,0.885748497935758," ",8.16718477699658,8.07537228890786,7.48522879632372,8.35539898342044,7.94522640125573,8.40853241513458,7.9626556455107,7.57395524885933
"ENSMAUG00000020165","ORL",-1.82544970986109,NA," ",2,3.24645212391988,2.48725834978792,2.78962750796644,2.75936977558366,2,2,2
"ENSMAUG00000020166","Ntng2",-1.43436877166599,0.0469611210011462," ",4.91740543006278,5.4256290471395,5.41178996277747,4.52006579106275,2.75936977558366,4.23378116106519,4.66622902229386,3.24587448814471
"ENSMAUG00000020167","Lrrtm1",-2.27382746857231,0.0371916398925712," ",3.47071092177825,4.19178001433561,3.93071809328378,3.96883259495259,2,3.15998464117839,3.04930711263584,2
"ENSMAUG00000020168","",-0.44438232490855,0.100061162202331," ",7.40183234701693,7.3889698588177,7.77181753416193,7.72062306741105,7.21035193338605,7.24931314923068,7.30877499389071,6.74343450835267
"ENSMAUG00000020169","",-0.236057187338785,0.765314937889539," ",4.88317185058522,3.5467593551756,4.54135162661545,4.77167955183797,4.26607604303741,4.23378116106519,4.53926069630196,4.10161457673107
"ENSMAUG00000020170","Dhfr",1.49620968742735,8.77275147449443e-05," ",5.16545046522651,5.51494917479459,5.23838141675518,4.77167955183797,6.71619042499766,6.87748224475045,5.87150656191676,6.84331949842539
"ENSMAUG00000020171","Fabp7",-1.84500372472149,NA," ",6.45316825342169,2,2,2.78962750796644,2.75936977558366,4.57002615788616,2.61802043359084,2
"ENSMAUG00000020172","Rel",0.877812142848716,0.000715435523133683," ",7.26229897207224,7.62795131608986,7.38475828771257,7.41047004112149,8.22454163336948,8.14470111572139,7.94084247807339,8.73254897971112
