Geneid,REM_1,REM_2,REM_3,EIDD_1,EIDD_2,EIDD_3,EIDD_4,Control_1,Control_2,Control_3,Control_4
ENSMAUG00000001904,0,0,0,0,0,1,0,0,0,0,0
ENSMAUG00000001912,0,0,0,1,6,2,0,2,0,5,13
ENSMAUG00000002019,39,46,33,132,131,79,58,16,15,83,34
ENSMAUG00000002206,0,0,0,0,0,0,0,0,0,1,0
ENSMAUG00000002257,92,56,48,7,42,4,6,41,28,20,52
ENSMAUG00000002375,0,0,0,4,2,3,3,0,2,3,0
ENSMAUG00000002616,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000002665,0,0,0,1,4,2,2,2,0,4,0
ENSMAUG00000002695,0,0,0,7,9,8,0,2,0,6,1
ENSMAUG00000002742,19,1,23,23,24,18,5,28,14,68,53
ENSMAUG00000003013,3188,990,1584,65,89,58,41,1403,732,1334,1759
ENSMAUG00000003034,126,142,136,76,90,84,30,63,36,124,93
ENSMAUG00000003177,0,0,0,0,0,0,0,0,0,6,0
ENSMAUG00000003418,2471,1436,1377,1279,1820,1125,580,524,254,1575,792
ENSMAUG00000003608,0,0,0,18,7,3,8,3,5,17,6
ENSMAUG00000003621,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000003967,1356,882,833,498,636,483,274,257,132,632,358
ENSMAUG00000004004,0,2,4,10,5,8,2,12,2,11,11
ENSMAUG00000004418,0,0,2,14,12,5,10,1,0,14,8
ENSMAUG00000004548,977,1140,1188,262,305,229,190,395,192,398,428
ENSMAUG00000004768,220,152,158,154,248,100,71,60,26,183,68
ENSMAUG00000004962,0,0,0,1,1,3,0,0,0,3,0
ENSMAUG00000005044,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000005069,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000005128,0,0,0,3,5,0,4,2,0,2,3
ENSMAUG00000005139,2,4,8,11,3,0,8,2,7,4,4
ENSMAUG00000005401,5739,8578,6997,1999,2456,3118,833,420,203,2382,364
ENSMAUG00000005523,0,0,0,3,6,3,0,1,0,9,2
ENSMAUG00000005553,0,0,0,0,0,1,0,0,0,0,0
ENSMAUG00000005612,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000005650,787,544,490,1367,2090,1115,769,786,368,1722,1115
ENSMAUG00000005679,0,0,0,2,0,1,0,0,0,1,0
ENSMAUG00000005734,0,0,8,5,11,9,2,2,0,6,1
ENSMAUG00000005868,0,0,0,1,0,1,0,0,0,5,0
ENSMAUG00000006455,0,16,56,18,16,12,12,4,4,11,12
ENSMAUG00000006464,0,0,0,0,2,2,0,0,0,0,0
ENSMAUG00000006565,420,385,322,144,178,115,54,80,64,148,126
ENSMAUG00000006621,0,0,0,0,0,0,2,0,0,0,0
ENSMAUG00000006641,0,0,0,11,3,1,2,3,1,6,8
ENSMAUG00000006915,0,0,0,2,1,2,0,0,0,4,0
ENSMAUG00000007002,502,330,477,302,426,208,167,108,76,313,152
ENSMAUG00000007031,0,0,0,2,2,0,0,0,0,0,0
ENSMAUG00000007178,0,0,0,0,4,0,1,0,0,0,0
ENSMAUG00000007581,345,257,267,242,420,418,132,162,115,466,206
ENSMAUG00000007623,101,71,132,7,48,6,0,24,51,32,72
ENSMAUG00000007764,1,0,0,0,3,0,1,3,1,2,1
ENSMAUG00000007819,50,78,68,2,6,8,4,2,4,5,8
ENSMAUG00000007887,606,836,700,830,960,626,341,151,93,727,150
ENSMAUG00000007932,593,742,644,542,868,705,237,126,70,540,95
ENSMAUG00000007943,18,6,12,2,2,0,0,2,2,0,2
ENSMAUG00000008058,200,186,212,118,122,141,41,66,38,181,80
ENSMAUG00000008115,0,0,0,0,1,2,0,2,2,2,2
ENSMAUG00000008695,224,191,292,256,398,284,96,180,98,434,215
ENSMAUG00000008867,1754,1709,1606,1092,1764,1241,456,158,63,1320,147
ENSMAUG00000008892,4609,3387,3568,1982,2880,1423,1098,1398,705,2704,2002
ENSMAUG00000008960,32142,22978,34171,5025,5349,3207,2060,2782,1870,6542,3464
ENSMAUG00000009126,3198,1252,1604,132,259,105,115,677,342,1110,990
ENSMAUG00000009253,437,240,269,185,176,171,82,98,72,216,165
ENSMAUG00000009497,768,534,513,221,243,253,80,138,50,407,156
ENSMAUG00000009545,0,0,0,10,4,11,2,1,1,6,3
ENSMAUG00000009573,136,266,414,187,152,159,62,74,48,185,43
ENSMAUG00000009627,1360,1096,1194,710,1102,778,329,385,169,998,458
ENSMAUG00000009742,13632,9076,9171,9496,13478,7302,5009,7692,5314,14099,11351
ENSMAUG00000009942,0,0,0,15,21,17,14,10,0,25,11
ENSMAUG00000009944,207,230,152,105,136,87,57,34,34,150,67
ENSMAUG00000009975,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000010149,457,340,557,187,368,224,80,134,84,278,135
ENSMAUG00000010160,1456,1354,804,3828,5550,3118,2020,1862,872,4618,2648
ENSMAUG00000010512,43094,36630,49164,1343,4443,1967,494,1971,735,5904,2195
ENSMAUG00000010529,1491,1677,1970,1081,1657,1026,563,499,262,1608,637
ENSMAUG00000010597,0,0,0,0,0,0,0,0,0,4,0
ENSMAUG00000010967,0,0,0,7,6,7,2,0,1,12,4
ENSMAUG00000011080,111,106,178,41,66,18,22,12,4,35,25
ENSMAUG00000011179,1130,326,574,126,183,81,53,209,146,313,294
ENSMAUG00000011314,638,58,412,28,44,20,8,1032,368,954,2978
ENSMAUG00000011322,23,18,8,12,26,3,10,7,4,23,38
ENSMAUG00000011459,3087,4478,2904,575,591,459,286,155,106,617,150
ENSMAUG00000011536,12,0,16,4,0,2,2,1,0,2,6
ENSMAUG00000011994,54,98,74,33,47,54,20,18,8,48,20
ENSMAUG00000012146,4045,3854,4496,3389,4527,2569,1873,2221,1328,4132,2847
ENSMAUG00000012194,802,858,748,307,256,195,171,149,88,336,244
ENSMAUG00000012204,241,64,121,78,107,73,35,132,90,213,126
ENSMAUG00000012533,273,246,236,128,175,163,71,53,49,202,56
ENSMAUG00000012536,0,0,0,0,5,0,0,1,0,3,2
ENSMAUG00000012729,279,247,460,141,190,66,94,129,66,175,167
ENSMAUG00000012837,531,632,734,572,796,536,182,132,60,639,86
ENSMAUG00000013009,352,465,472,1149,1664,958,682,386,213,1210,419
ENSMAUG00000013327,1678,224,781,36,34,41,3,375,170,428,657
ENSMAUG00000013430,4953,1392,2864,71,175,63,42,1303,765,1479,2033
ENSMAUG00000013646,18,0,3,0,0,1,0,0,0,1,0
ENSMAUG00000013667,60,66,22,75,91,143,20,4,14,66,8
ENSMAUG00000013814,2,17,9,10,17,3,2,2,0,8,6
ENSMAUG00000013944,0,0,0,5,11,3,0,2,0,5,2
ENSMAUG00000014047,641,644,510,1100,1248,733,702,218,161,839,277
ENSMAUG00000014295,1072,650,740,260,317,217,105,176,116,353,157
ENSMAUG00000014798,213,263,314,531,616,352,251,83,62,437,83
ENSMAUG00000015507,1184,967,922,1507,2267,1457,657,508,282,1534,617
ENSMAUG00000015635,12188,12182,7274,382,528,302,243,178,104,627,340
ENSMAUG00000015725,99,36,90,224,408,43,92,272,36,103,216
ENSMAUG00000015742,1728,1531,1179,653,793,592,365,593,386,1214,814
ENSMAUG00000015817,698,592,1282,451,512,345,226,108,57,477,112
ENSMAUG00000015879,668,582,748,266,245,166,98,83,72,312,119
ENSMAUG00000015981,2354,2219,2202,2921,3766,2895,1495,1635,1164,3857,2144
ENSMAUG00000016009,52,68,54,28,26,35,14,12,10,50,2
ENSMAUG00000016080,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000016114,410,758,512,163,194,101,73,125,91,280,193
ENSMAUG00000016350,165,448,522,413,700,326,143,99,50,363,31
ENSMAUG00000016582,9610,7760,6734,7216,9901,6610,3343,3100,1868,7929,4389
ENSMAUG00000016623,436,525,538,164,241,170,90,112,44,290,97
ENSMAUG00000016751,281,317,228,270,451,242,130,184,121,408,293
ENSMAUG00000017006,1054,772,970,1284,1687,885,642,598,376,1666,945
ENSMAUG00000017286,965,1236,1049,613,881,551,326,299,141,729,422
ENSMAUG00000017320,0,0,2,3,6,2,4,5,0,10,4
ENSMAUG00000017414,1558,1923,1489,4175,5689,3280,2030,1205,644,3794,1295
ENSMAUG00000017427,2530,3387,2589,846,1483,821,373,171,112,854,243
ENSMAUG00000017730,654,729,878,238,384,297,137,152,51,424,142
ENSMAUG00000017744,4464,3968,4511,1333,2220,1722,553,568,326,2212,800
ENSMAUG00000017759,1760,1731,1396,329,304,287,222,84,44,402,95
ENSMAUG00000017928,1994,2244,2644,695,679,405,374,311,282,879,363
ENSMAUG00000018090,3247,2609,3460,901,1095,854,444,565,323,1121,645
ENSMAUG00000018176,25496,2358,13732,159,267,53,80,1527,650,1561,2284
ENSMAUG00000018386,1065,898,1064,262,391,182,240,300,229,377,320
ENSMAUG00000018445,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000018661,648,546,516,205,316,216,106,101,64,323,144
ENSMAUG00000018673,566,760,512,126,132,54,98,159,94,218,231
ENSMAUG00000018993,54,38,46,48,138,37,16,64,43,90,135
ENSMAUG00000019073,2723,2146,2437,735,1040,602,434,676,399,1160,962
ENSMAUG00000019408,0,10,4,7,22,4,7,7,0,12,8
ENSMAUG00000019446,802,668,509,2239,3369,1663,1484,1306,701,2836,1810
ENSMAUG00000019548,126,88,184,172,308,146,68,241,172,331,339
ENSMAUG00000019872,427,332,390,240,315,164,190,184,154,344,247
ENSMAUG00000020013,36,18,66,143,156,168,70,20,21,138,15
ENSMAUG00000020082,1344,1044,1095,1095,1519,976,467,536,309,1277,726
ENSMAUG00000020439,42,112,22,6,20,8,8,4,2,8,9
ENSMAUG00000020444,342,221,380,92,116,157,50,43,20,171,93
ENSMAUG00000020458,40,42,16,35,83,41,29,54,30,83,91
ENSMAUG00000020623,3307,346,2016,71,148,81,22,1432,603,1691,3643
ENSMAUG00000020672,93,49,93,70,67,41,24,15,10,53,4
ENSMAUG00000020742,1682,214,959,20,39,13,6,251,89,494,557
ENSMAUG00000020745,428,475,272,1937,2535,1550,839,747,416,2133,1083
ENSMAUG00000020953,2921,2806,2843,1750,2183,1270,1094,1051,640,2061,1334
ENSMAUG00000020976,330,262,255,78,144,163,40,56,38,187,97
ENSMAUG00000021008,0,4,0,16,18,48,5,2,2,17,2
ENSMAUG00000021070,962,894,620,439,536,408,265,215,114,555,301
ENSMAUG00000021074,0,10,0,2,2,0,2,0,0,0,0
ENSMAUG00000021080,140,56,64,100,139,96,43,46,36,194,69
ENSMAUG00000021084,1704,783,1086,426,487,359,180,281,127,535,348
ENSMAUG00000021140,104,74,82,56,72,74,28,16,4,59,16
ENSMAUG00000021167,5432,857,3241,39,20,21,2,77,18,321,193
ENSMAUG00000021265,366,321,350,299,497,420,113,77,46,457,98
ENSMAUG00000021289,285,410,493,379,487,315,222,212,111,395,200
ENSMAUG00000021295,6605,6474,6578,2928,4437,2729,1405,1387,742,4072,2107
ENSMAUG00000021372,1376,1372,1097,609,672,404,330,308,209,632,342
ENSMAUG00000021412,41,30,16,4,7,2,2,3,0,12,10
ENSMAUG00000021441,3,0,2,17,23,21,10,6,6,21,0
ENSMAUG00000021479,518,249,321,141,385,95,12,342,253,367,349
ENSMAUG00000021534,511,473,411,2879,4599,2364,1559,1072,483,2992,1523
ENSMAUG00000021560,20,16,40,14,14,6,4,5,0,6,4
ENSMAUG00000021562,284,158,180,77,76,53,54,63,40,110,32
ENSMAUG00000021707,2690,2425,1706,1012,1210,882,419,338,169,1097,384
ENSMAUG00000021723,1366,1134,951,1686,2142,1162,860,680,403,1882,1057
ENSMAUG00000021776,661,508,545,499,541,351,182,166,116,609,244
ENSMAUG00000021786,2538,1815,1139,289,451,224,156,310,221,496,421
ENSMAUG00000021809,12,6,12,1,31,19,1,10,0,25,10
ENSMAUG00000021895,1374,1195,1262,594,717,458,348,335,174,885,603
ENSMAUG00000021931,3192,1786,1776,1118,1585,933,487,1791,715,2864,2893
ENSMAUG00000022126,385,412,298,373,489,354,180,202,80,546,299
ENSMAUG00000022131,260,332,410,892,1533,795,602,465,344,1268,644
ENSMAUG00000022169,678,496,468,195,214,124,84,115,82,368,223
ENSMAUG00000022173,397,285,273,99,129,124,62,55,28,123,81
ENSMAUG00000022205,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000000796,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000000931,2,0,6,15,6,2,5,2,9,6,4
ENSMAUG00000001333,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000001387,0,0,2,0,0,0,0,0,0,0,0
ENSMAUG00000001858,14487,13885,9806,717,1074,787,344,594,430,1254,912
ENSMAUG00000001931,227,189,421,209,327,265,106,91,83,327,120
ENSMAUG00000001996,3,2,0,7,3,2,0,0,0,4,0
ENSMAUG00000002015,928,808,773,161,149,133,87,156,68,282,205
ENSMAUG00000002644,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000003232,0,0,0,2,4,0,0,0,0,0,0
ENSMAUG00000003286,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000003490,0,0,0,8,0,0,0,0,0,2,0
ENSMAUG00000003714,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004298,0,0,29,2,0,0,0,0,4,2,0
ENSMAUG00000004821,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000005356,0,0,0,4,0,0,0,0,2,0,0
ENSMAUG00000005648,1226,1224,1248,543,768,549,246,195,87,633,262
ENSMAUG00000006199,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006862,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000007095,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000007197,2,0,0,2,2,0,0,0,0,2,1
ENSMAUG00000008474,4717,4763,5321,2635,3501,2741,1201,1222,660,3444,1357
ENSMAUG00000009226,999,645,1026,243,383,262,108,85,33,357,133
ENSMAUG00000009261,2114,1985,1668,377,463,246,233,671,480,821,1115
ENSMAUG00000009275,48,152,281,61,67,79,30,30,9,110,20
ENSMAUG00000009786,78,69,72,92,127,154,20,46,38,160,87
ENSMAUG00000009913,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000009978,70,66,50,451,585,365,200,29,21,269,24
ENSMAUG00000010231,1297,1276,1351,464,423,259,206,272,204,641,430
ENSMAUG00000010618,1197,1206,1486,349,332,195,142,153,86,414,138
ENSMAUG00000010825,2,2,4,8,14,10,4,4,2,14,13
ENSMAUG00000011327,947,847,964,245,312,184,115,148,63,387,207
ENSMAUG00000011430,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000012010,1302,995,891,259,311,255,111,150,78,319,189
ENSMAUG00000012161,3638,2955,2169,950,1309,998,321,512,266,1482,713
ENSMAUG00000013107,550,252,281,247,376,272,156,121,64,432,83
ENSMAUG00000013518,442,74,11818,294,72,10,346,247,83,115,24
ENSMAUG00000014093,249,368,416,81,110,69,43,42,21,111,41
ENSMAUG00000014740,781,576,603,201,212,152,136,194,126,326,251
ENSMAUG00000015429,46,58,49,4,1,2,2,6,2,6,10
ENSMAUG00000015617,156,204,210,84,63,98,76,14,27,79,16
ENSMAUG00000015933,494,553,294,420,498,364,204,225,105,496,351
ENSMAUG00000016714,20,104,309,1481,1483,634,661,475,316,1176,267
ENSMAUG00000016810,26,26,40,14,11,6,17,36,16,36,12
ENSMAUG00000017148,262,320,279,222,369,277,94,92,85,264,74
ENSMAUG00000017920,220,140,142,163,242,243,67,61,34,240,84
ENSMAUG00000018780,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000018817,3270,2712,1754,2902,3226,2135,1309,1320,614,3336,1421
ENSMAUG00000019230,427,338,356,122,157,127,40,34,33,152,91
ENSMAUG00000019611,33681,35451,41937,5088,5888,3975,1881,2892,1759,7863,4861
ENSMAUG00000020136,5950,5154,5646,1675,1827,1115,759,1053,639,2066,1255
ENSMAUG00000020159,12,24,45,25,24,11,7,12,16,50,5
ENSMAUG00000020167,0,2,0,10,26,14,8,0,2,8,0
ENSMAUG00000020837,345,284,261,28,64,34,20,16,16,50,30
ENSMAUG00000020920,4556,3150,2538,816,925,765,403,1168,749,1570,1886
ENSMAUG00000021688,18,4,23,63,106,42,21,22,6,104,30
ENSMAUG00000021915,140,168,97,153,203,148,91,77,31,188,103
ENSMAUG00000021939,1719,1112,1092,568,665,540,219,346,164,836,406
ENSMAUG00000022023,2000,1859,1808,311,344,425,103,134,84,490,185
ENSMAUG00000022113,310,157,314,279,327,299,85,49,25,263,75
ENSMAUG00000022150,1540,1671,1942,668,672,536,296,133,95,615,137
ENSMAUG00000022181,712,646,784,295,302,248,67,74,60,356,185
ENSMAUG00000000478,124,238,225,660,729,444,361,266,69,741,311
ENSMAUG00000000562,503,653,743,195,279,127,143,291,205,399,555
ENSMAUG00000000976,1819,1651,2038,2157,2937,1438,1491,1299,745,2414,1693
ENSMAUG00000001083,687,573,652,2176,3537,1468,1070,730,376,2486,1149
ENSMAUG00000001181,6967,2256,4612,672,756,490,250,1699,1121,1724,2124
ENSMAUG00000001989,34,18,8,36,45,33,7,18,9,45,43
ENSMAUG00000002033,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000002579,0,0,0,0,0,0,2,2,8,0,0
ENSMAUG00000002646,0,0,0,4,6,2,0,2,0,2,10
ENSMAUG00000002656,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000002863,1734,1379,1382,905,1098,666,475,511,313,1003,579
ENSMAUG00000003268,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000003381,406,337,287,458,567,195,189,169,131,509,274
ENSMAUG00000003567,0,0,0,3,3,1,4,0,0,2,2
ENSMAUG00000003720,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000003756,0,0,0,0,2,0,0,0,0,2,2
ENSMAUG00000003850,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004096,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004674,0,0,0,2,5,2,2,1,0,0,0
ENSMAUG00000005227,2,8,0,17,30,7,7,8,1,13,20
ENSMAUG00000005637,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006220,0,0,0,0,0,0,0,0,0,0,2
ENSMAUG00000006847,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006903,3362,3149,3708,2133,2740,1688,1037,1008,654,2535,1232
ENSMAUG00000007086,0,6,0,2,6,4,8,2,0,20,12
ENSMAUG00000007641,714,1006,628,208,228,190,124,94,50,281,200
ENSMAUG00000007820,0,0,0,1,11,2,6,0,0,8,5
ENSMAUG00000007958,782,814,645,240,405,256,131,145,93,370,208
ENSMAUG00000008510,4,4,0,6,39,9,2,0,4,10,10
ENSMAUG00000008759,1677,1192,1072,657,777,432,321,385,201,895,587
ENSMAUG00000009009,1852,1684,1795,583,686,411,349,614,373,901,947
ENSMAUG00000009752,192,64,84,72,105,73,62,170,98,233,318
ENSMAUG00000012035,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000013015,806,548,556,2500,3644,1965,1446,1356,614,3416,1968
ENSMAUG00000013114,1145,1265,1702,1768,2112,1259,962,936,579,2148,1264
ENSMAUG00000013910,3673,2649,3127,1877,2123,1443,938,1005,487,2540,1401
ENSMAUG00000013935,1144,1630,1684,6018,8028,5863,2560,974,298,5655,875
ENSMAUG00000013955,35,18,106,341,335,157,146,108,60,307,89
ENSMAUG00000014264,1330,1120,488,378,577,464,184,186,124,600,258
ENSMAUG00000014700,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000014866,100,157,178,753,1105,545,455,352,233,926,463
ENSMAUG00000015037,0,0,0,2,2,0,0,0,2,2,2
ENSMAUG00000015262,0,0,6,0,8,3,1,2,2,4,0
ENSMAUG00000015382,158,219,176,413,769,409,226,85,32,404,90
ENSMAUG00000015397,14847,6364,8644,975,1595,804,543,2711,2003,2413,4514
ENSMAUG00000015733,32,47,62,1321,1567,1254,682,271,63,1346,185
ENSMAUG00000016037,532,155,355,120,142,81,28,73,29,157,111
ENSMAUG00000016058,2595,2243,2762,1161,1441,1012,557,667,325,1453,951
ENSMAUG00000016139,328,223,215,140,222,120,82,83,28,186,86
ENSMAUG00000016228,0,0,0,4,10,3,0,2,1,1,0
ENSMAUG00000016749,6,2,0,28,33,11,18,2,4,22,10
ENSMAUG00000017640,3630,2588,3019,5250,6835,3579,3129,2809,1620,6010,3621
ENSMAUG00000018301,0,0,0,0,0,0,0,8,0,4,4
ENSMAUG00000018492,4,2,9,5,6,10,2,2,2,11,4
ENSMAUG00000018568,46,81,74,28,290,32,26,0,0,43,2
ENSMAUG00000019369,18322,6173,10191,1215,1542,868,577,1840,1048,2810,3111
ENSMAUG00000019401,8,40,66,55,24,36,24,3,4,25,2
ENSMAUG00000019510,49,24,28,5,10,5,0,4,4,9,15
ENSMAUG00000019728,105,122,59,545,782,403,233,373,157,854,668
ENSMAUG00000020232,2883,2627,3009,893,1016,742,543,588,406,1117,899
ENSMAUG00000020278,242,273,253,94,72,69,32,54,32,123,86
ENSMAUG00000020720,110,278,642,103,90,15,58,55,16,170,12
ENSMAUG00000021182,1748,1476,1268,1778,2140,1660,836,657,391,1874,880
ENSMAUG00000021607,696,668,507,226,324,184,83,109,84,313,166
ENSMAUG00000022071,159,66,85,97,123,60,57,42,10,96,30
ENSMAUG00000022209,0,2,0,0,0,0,0,0,0,1,0
ENSMAUG00000000314,715,721,587,267,285,224,92,118,84,360,208
ENSMAUG00000000369,202,353,162,509,705,572,207,108,46,565,138
ENSMAUG00000000462,1966,1810,2697,534,529,523,255,368,339,851,465
ENSMAUG00000000475,3278,2360,2794,2738,3795,2422,1338,2106,907,4374,2714
ENSMAUG00000000566,14555,8019,7906,1041,931,732,299,1368,1470,3205,2082
ENSMAUG00000001390,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000001700,98,20,0,0,0,0,2,0,0,0,1
ENSMAUG00000003033,12,14,14,93,96,57,74,8,0,70,7
ENSMAUG00000003125,48,42,18,14,32,12,6,13,3,14,14
ENSMAUG00000003708,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004038,0,0,0,12,10,0,4,0,4,10,2
ENSMAUG00000004950,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000005561,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000005964,119,175,190,560,620,544,288,108,64,519,127
ENSMAUG00000006015,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006303,20,39,6,228,333,228,91,92,68,313,138
ENSMAUG00000006324,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006418,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006477,0,0,0,1,1,5,2,0,0,1,0
ENSMAUG00000006512,929,1254,1392,613,912,551,375,517,352,942,701
ENSMAUG00000006598,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006921,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000007342,680,230,621,176,331,153,101,409,272,656,404
ENSMAUG00000008183,3284,2563,2961,1064,1290,1189,442,380,254,1353,614
ENSMAUG00000008780,371,393,278,201,282,158,63,79,41,257,83
ENSMAUG00000008813,22,6,6,12,21,14,8,1,2,16,10
ENSMAUG00000009430,810,498,868,675,936,607,338,346,193,789,330
ENSMAUG00000010655,20,52,68,53,77,57,35,40,14,57,10
ENSMAUG00000011338,305,291,283,135,207,116,50,79,54,129,82
ENSMAUG00000011485,193,294,357,165,158,68,103,124,112,173,90
ENSMAUG00000012249,673,446,436,430,611,420,229,185,122,534,326
ENSMAUG00000012341,372,617,365,1726,1689,1384,801,149,68,1052,136
ENSMAUG00000012963,140,130,221,174,303,261,76,97,40,221,69
ENSMAUG00000013765,125,101,90,72,130,69,54,52,33,106,66
ENSMAUG00000014130,856,839,1087,304,360,300,190,197,84,359,249
ENSMAUG00000014510,392,270,294,160,238,139,100,83,38,227,108
ENSMAUG00000014938,937,1014,893,277,338,191,134,164,127,388,258
ENSMAUG00000015145,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000015498,840,621,694,334,572,399,196,241,99,608,356
ENSMAUG00000015902,5213,4281,5736,2970,3750,2018,1813,1981,1407,3758,2472
ENSMAUG00000016201,0,0,0,0,1,0,0,0,1,0,0
ENSMAUG00000016659,2762,2474,2663,595,671,442,262,423,272,877,549
ENSMAUG00000016677,82,87,88,555,1024,748,287,137,88,625,193
ENSMAUG00000016937,3622,4249,2837,1293,1602,1405,544,513,294,1586,595
ENSMAUG00000017426,860,908,802,1067,1330,737,666,375,191,1183,351
ENSMAUG00000018597,963,588,876,349,406,339,169,184,101,457,278
ENSMAUG00000018819,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000018882,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000018981,4,20,8,78,105,71,49,17,10,83,14
ENSMAUG00000019575,1025,838,590,432,650,434,204,349,163,720,399
ENSMAUG00000019651,0,2,2,0,0,0,0,0,0,0,0
ENSMAUG00000020113,2567,1964,2449,709,884,744,397,680,401,1160,921
ENSMAUG00000020122,8031,6005,6394,1130,1672,920,454,1287,574,2344,2254
ENSMAUG00000020308,1173,1142,1168,260,290,145,77,457,342,533,668
ENSMAUG00000020567,4279,4215,4549,584,700,516,314,606,426,1218,754
ENSMAUG00000020723,26,20,98,30,58,34,20,11,6,32,24
ENSMAUG00000000978,856,768,694,669,1083,694,303,272,140,857,409
ENSMAUG00000001276,1909,2400,1822,2598,2722,2466,985,654,245,2145,752
ENSMAUG00000001651,0,0,0,1,0,0,0,0,0,2,0
ENSMAUG00000001771,23,98,108,13,27,26,12,19,20,33,2
ENSMAUG00000001939,0,0,0,5,1,7,0,0,0,0,3
ENSMAUG00000002362,0,0,0,0,0,0,0,0,4,0,0
ENSMAUG00000002787,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000002876,0,0,0,0,0,0,0,0,0,2,0
ENSMAUG00000003468,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000003577,1226,1174,699,464,681,429,250,172,66,523,201
ENSMAUG00000003589,94,148,338,202,176,206,100,8,10,93,8
ENSMAUG00000003597,4,9,8,22,14,12,31,9,14,34,21
ENSMAUG00000003612,0,0,0,20,27,12,3,15,11,32,30
ENSMAUG00000003755,0,8,2,8,11,3,2,0,0,2,2
ENSMAUG00000004135,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004171,1178,756,1048,166,150,128,69,168,78,298,267
ENSMAUG00000004513,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000004864,0,0,0,0,0,2,0,0,0,2,5
ENSMAUG00000004888,4399,4065,5208,986,1241,895,541,701,397,1368,981
ENSMAUG00000004948,10,6,0,18,14,5,27,24,22,22,15
ENSMAUG00000005246,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006064,32,19,12,22,35,36,20,30,13,43,18
ENSMAUG00000006151,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006487,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006637,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006717,40,30,50,0,0,4,2,2,0,2,2
ENSMAUG00000006790,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006968,48,35,48,77,76,61,44,72,66,111,52
ENSMAUG00000007548,6,14,42,6,8,6,4,2,2,4,2
ENSMAUG00000007752,2399,2065,1924,1170,1558,1203,564,668,330,1488,1074
ENSMAUG00000007842,0,0,0,0,2,0,0,0,0,0,0
ENSMAUG00000008006,455,453,480,487,689,537,201,135,113,608,236
ENSMAUG00000008132,58,42,50,12,21,4,0,4,6,10,10
ENSMAUG00000008501,12,10,0,14,8,18,2,4,4,16,8
ENSMAUG00000008568,1211,1162,850,171,245,175,60,90,44,302,164
ENSMAUG00000008667,672,921,532,177,259,164,84,70,26,168,80
