Geneid,REM_1,REM_2,REM_3,EIDD_1,EIDD_2,EIDD_3,EIDD_4,Control_1,Control_2,Control_3,Control_4
ENSMAUG00000006476,141,114,200,107,135,59,40,25,18,77,35
ENSMAUG00000006490,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006500,1511,782,1083,1010,1442,1004,407,538,243,1244,539
ENSMAUG00000006532,685,1025,457,429,873,384,194,132,174,328,210
ENSMAUG00000006544,0,0,0,5,7,0,0,1,2,5,0
ENSMAUG00000006548,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006552,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006568,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006571,30,4,32,982,34,2,3460,4434,5054,331,2356
ENSMAUG00000006578,0,0,2,0,0,0,0,0,0,0,2
ENSMAUG00000006602,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006636,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006661,0,0,0,2,0,0,0,0,1,1,2
ENSMAUG00000006667,25,6,32,0,3,0,0,3,3,2,0
ENSMAUG00000006732,24,6,28,3,4,0,0,6,2,2,3
ENSMAUG00000006750,0,2,0,2,3,4,0,0,0,2,4
ENSMAUG00000006762,0,0,0,4,2,2,2,0,2,0,2
ENSMAUG00000006792,0,0,0,22,20,9,8,7,3,15,4
ENSMAUG00000006798,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000006843,0,0,0,0,0,0,1,0,0,0,0
ENSMAUG00000006863,5,3,18,4,11,6,25,12,14,14,8
ENSMAUG00000006895,1185,612,501,500,579,279,251,376,177,663,420
ENSMAUG00000006958,0,0,0,1,2,0,0,1,0,4,0
ENSMAUG00000006974,0,0,0,3,4,1,2,1,0,3,0
ENSMAUG00000007009,0,0,0,3,2,0,2,0,0,4,0
ENSMAUG00000007034,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000007055,184,18,77,16,42,18,4,60,29,90,59
ENSMAUG00000007108,0,0,0,10,12,15,3,2,0,5,4
ENSMAUG00000007110,263,275,164,403,572,508,143,78,64,401,68
ENSMAUG00000007119,0,0,0,34,45,34,22,14,6,26,8
ENSMAUG00000007124,1285,1283,1319,707,2155,1305,234,336,190,1556,369
ENSMAUG00000007156,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000007279,0,8,4,4,15,6,2,2,0,0,0
ENSMAUG00000007293,0,1,2,1,1,6,0,0,2,4,2
ENSMAUG00000007392,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000007422,0,0,0,0,1,0,0,0,0,0,0
ENSMAUG00000007434,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000007472,237,262,170,387,650,339,202,155,131,437,271
ENSMAUG00000007484,471,82,350,178,260,146,91,200,127,338,256
ENSMAUG00000007497,6,0,0,269,181,69,206,126,109,222,176
ENSMAUG00000007512,0,0,0,4,4,6,0,2,0,3,2
ENSMAUG00000007550,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000007553,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000007554,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000007578,2507,1563,1300,1087,1410,824,596,729,363,1583,1107
ENSMAUG00000007601,238,268,270,99,102,60,40,72,52,148,138
ENSMAUG00000007611,32,26,16,4,3,2,4,2,0,0,0
ENSMAUG00000007663,0,0,0,0,0,0,0,0,0,0,0
ENSMAUG00000007683,0,0,0,0,0,0,0,4,0,2,0
ENSMAUG00000007690,0,0,8,3,10,1,2,0,0,9,2
ENSMAUG00000008101,4,5,0,1,2,0,0,0,0,0,0
ENSMAUG00000008237,2073,1305,1463,992,1264,833,471,531,315,1097,711
ENSMAUG00000008239,66,50,60,13,11,26,4,12,1,19,10
ENSMAUG00000008253,4512,4556,5394,2346,3503,2246,1169,715,366,2510,725
ENSMAUG00000008336,7316,7945,4651,6271,10065,6018,3711,4710,2639,9591,6834
ENSMAUG00000008526,4116,3696,4276,928,1043,681,423,703,342,1521,923
ENSMAUG00000008537,130,4,58,0,0,0,4,117,113,90,168
ENSMAUG00000008553,0,2,0,0,2,0,0,2,0,2,4
ENSMAUG00000008559,490,542,444,581,787,420,389,267,133,632,362
ENSMAUG00000008571,4850,3388,3542,2275,3320,1717,1212,1956,934,4094,3201
ENSMAUG00000008576,1819,769,973,458,561,486,159,192,89,878,404
ENSMAUG00000008587,188,117,137,146,209,143,79,100,51,248,109
ENSMAUG00000008589,57,37,52,95,174,112,44,22,3,135,13
ENSMAUG00000008598,0,0,1,0,0,0,1,0,0,2,4
ENSMAUG00000008613,1515,1288,1876,564,636,377,312,284,159,667,258
ENSMAUG00000008615,1717,2750,950,306,797,316,189,243,113,655,370
ENSMAUG00000008662,46,62,56,12,64,4,26,10,4,9,7
